,sim,sentence1,sentence2
51,1,month ago mubarak dismissed demands constitutional reform futile,month muybarak applications constitutional reform disrupted futile
52,1,indeed intolerance goes right top turkish government,undeniable intolerance reached meetings turkish government
53,1,none absolves rich countries responsibility help,however absolve rich countries obligation help
54,1,indeed french philosopher marcel gauchet entitled recent book democracy,also note french philosopher marcel gauchet called one recent books democracy
55,1,recommend policies politicians may may want consider,recommended policies politicians consideration
56,1,spirit european constitution must written,spirit must drawn european constitution
57,1,side quite different theories explanations going,player markedly different theories explanations situation
58,1,books success sign kind malaise,success book sign israel 
59,0,putin also seems suspect regimes impotence,also regime 
60,1,europes performance continues decline would perception survive,image survive pursuit decline
61,1,political stock market,politicization securities market
62,1,western europeans spared legacy heed warnings,western europeans forgotten history heed warnings
63,1,none absolves rich countries responsibility help,release however rich countries obligation help
64,1,ignorant poor sick,culture poor sick
65,1,know little modern factory farming may wonder legislation would necessary,know intensive farming methods astonished perhaps need legislation
66,1,today two plausible ways proceed deposed tyrant,today two ways plausible proceeding tyrant deposed
67,1,yet process deinstitutionalization religious experience also taking place within islam,however process deinstitutionalisation religious experience also happening within islam
68,1,ahmadinejad embarking adventure bernanke,ahmadinejad embarking adventure bernanke
69,1,ways needed,necessary find means 
70,1,foremost among economic development largely hands poor nations,forefront lessons find economic development left largely hands poor nations
71,1,europe,europe
72,1,left conservative opposition without effective response,leaves conservative opposition without effective response
73,1,today two plausible ways proceed deposed tyrant,today two plausible ways proceed regard relieved tyrant
74,1,promarket economists dont object corporations blatantly use snob appeal promote products,economists promarché contradictory businesses use openly attraction luxury promote products
75,1,americas interest iraqi oil driven either economics energy policy,interest america iraqi oil dictated economy energy policy
76,1,prominent chinese businessman divides time hongkong london even specific,businessman chinese influential shares time hong kong london even specific
77,1,results remarkable,noteworthy results
78,1,none absolves rich countries responsibility help,detract rich countries obligation help
79,1,yet process deinstitutionalization religious experience also taking place within islam,however process deinstitutionalisation religious experience also happening within islam
80,1,american point view international role dollar trap,american point view international role dollar trap
81,1,muslim islamist thing,muslim islamiste two different things
82,1,putins russia already lost 12 leading journalists murder past six years,putins russia already lost 12 prominent journalists murdered last six years
83,1,us stock prices fell 52 may 9 may 24,however american courses show fall 52 9 may 24
84,1,indeed french philosopher marcel gauchet entitled recent book democracy,also note french philosopher marcel gauchet entitled one recent books democracy
85,1,clear implicit repudiation mubarak sole ruler 24 years,implicit clear repudiation mubarak head state 24 years
86,1,foremost among economic development largely hands poor nations,forefront lessons learn economic development largely left hands poor nations
87,1,give us right divorce husbands abandon us,would give right divorce husbands would abandoned
88,1,us stock prices fell 52 may 9 may 24,yet americans accused lowering 52 9 24 may
89,1,europe,europe
90,1,putins russia already lost 12 leading journalists murder past six years,russia putin already lost 12 prominent journalists murdered last six years
91,1,answer lies support indonesian prodemocracy activists generate domestically internationally,answer lies support indonesian democrats generate activists domestically internationally
92,1,us stock prices fell 52 may 9 may 24,us prices show decline 52 9 24 may
93,1,spirit european constitution must written,spirit european constitution developed
94,1,us stock prices fell 52 may 9 may 24,yet us courts indicted reduction 52 9 24 may
95,1,give us right divorce husbands abandon us,donneraitelle right divorce spouses would abandoned
96,1,ways needed,means found
97,1,yet process deinstitutionalization religious experience also taking place within islam,however process united states also within islam 
98,1,americas interest iraqi oil driven either economics energy policy,interests america iraqi oil dictated economy energy policy
99,1,ways needed,must find ways
100,1,americas interest iraqi oil driven either economics energy policy,interests iraqi people dictated economy energy policy 
101,1,gross error leading russia political ruin,gross mistake conducting russia policy downfall
102,1,perhaps importantly ahmadinejad destabilizing influence bernanke,perhaps important ahmadinejad destabilizing influence bernanke
103,1,time radical improvements technology made threat evaporate,time radical technological progress threats
104,1,bottom line interest rates rise asset values fall,important thing interest rates go values active fall
105,1,time radical improvements technology made threat evaporate,time technological progress radicals made threats slip
106,1,spirit european constitution must written,spirit must developed european constitution
107,1,american point view international role dollar trap,us point view international role dollar trap
108,1,tendency extends deeper headscarves,trend goes well beyond simple scarves
109,1,putins russia already lost 12 leading journalists murder past six years,russia putin already lost 12 eminent journalists assassinated six last years
110,1,books success sign kind malaise,success books sign malaise 
111,1,ignorant poor sick,uncultivated poor sick
112,1,president fewer powers seems overshadowed particularly supreme guide ayatollah ali khamenei,president less capacities appear particulirement particulirement eclipsed guide suprme ayatollah ali khamenei
113,1,indeed intolerance goes right top turkish government,indisputable reaches turkish government 
114,1,prominent chinese businessman divides time hongkong london even specific,business chinese influence shares time hong kong london precise
115,1,books success sign kind malaise,success book sign malaise
116,1,political stock market,politicization securities markets
117,1,tocqueville believed effective longterm constraints tendency,tocqueville thought long run nothing really opposed trend
118,1,tocqueville believed effective longterm constraints tendency,tocqueville believed long term nothing actually oppose trend
119,1,moreover main oil exporters unwilling subordinate investment policies market requirements,large oil exporters willing subject policies investment market rates
120,1,ignorant poor sick,poor sick uncultivated
121,1,promarket economists dont object corporations blatantly use snob appeal promote products,economists include companies use attraction luxury promote products 
122,1,political stock market,politicisation securities markets 
123,1,prominent chinese businessman divides time hongkong london even specific,influential chinese business man shares time hongkong london even precise
124,1,moreover main oil exporters unwilling subordinate investment policies market requirements,moreover major exporters oil prepared submit investment policies market conditions
125,1,western europeans spared legacy heed warnings,western europeans forgotten story take account warnings
126,1,witnessing today shift muslim identity islamist identity,today change muslim identity islamic identity
127,1,month ago mubarak dismissed demands constitutional reform futile,one month muybarak refused demands constitutional reform taxing futile
128,1,appointed task force formulate necessary changes tax spending policies,appointed working party make necessary changes policies public spending fiscal policies
129,1,know little modern factory farming may wonder legislation would necessary,know intensive methods surprised necessity legislation 
130,0,muslim islamist thing,necessary two different things 
131,1,appointed task force formulate necessary changes tax spending policies,appointed working group responsible drawing necessary changes bring public expenditure fiscal policies 
132,1,results remarkable,certain results remarkable
133,1,like union built done,european union build
134,1,give us right divorce husbands abandon us,give right divorce husband abandoned
135,1,recommend policies politicians may may want consider,recommended policies politicians take account
136,1,today two plausible ways proceed deposed tyrant,today two ways proceeding origins 
137,1,areas sharia law introduced force,areas sharia imposed 
138,0,europes performance continues decline would perception survive,picture survive european 
139,1,like union built done,european union build happen
140,1,president fewer powers seems overshadowed particularly supreme guide ayatollah ali khamenei,president fewer powers seems particuli failure overshadowed supreme leader ayatollah ali khamenei
141,1,jobs particular help young people create new lives serious work,jobs particular would help young people forge new lives jobs serious
142,1,western europeans spared legacy heed warnings,western europeans forgotten story heed warnings
143,1,gross error leading russia political ruin,big mistake leading russia political ruin
144,1,todays great pax europa todays paneuropean prosperity depend,great pax europa today current paneuropean prosperity depends
145,1,like union built done,european union built happen
146,1,western europeans spared legacy heed warnings,western europeans forgotten history take account warnings 
147,1,western europeans spared legacy heed warnings,western europeans forgotten history take account warnings
148,1,spirit european constitution must written,spirit must worked european constitution 
149,1,putins russia already lost 12 leading journalists murder past six years,putins russia already lost 12 prominent journalists murdered past six years
150,1,president fewer powers seems overshadowed particularly supreme guide ayatollah ali khamenei,president less powers seems particuli rement overshadowed ayatollahs supr guide ali khamenei
151,1,recommend policies politicians may may want consider,recommended policies politicians take account
152,1,people versus putin,people putin
153,1,tocqueville believed effective longterm constraints tendency,tocqueville believed long term nothing oppose really trend
154,1,questions many,many questions
155,1,necessary,necessary
156,1,moreover main oil exporters unwilling subordinate investment policies market requirements,moreover major oil exporters willing submit investment policies market conditions
157,1,american point view international role dollar trap,american point view international role dollar trap
158,1,foremost among economic development largely hands poor nations,foreground lessons one discovers economic development left mainly hands poor nations
159,1,perhaps importantly ahmadinejad destabilizing influence bernanke,perhaps important ahmadinejad affects destabilizing bernanke
160,1,bottom line interest rates rise asset values fall,key interest rates falling values active
161,1,recommend policies politicians may may want consider,policies take consideration 
162,1,gays modern practices rejected selfindulgent,gay modern practices rejected nombrilistes
163,1,western europeans spared legacy heed warnings,europeans west forgot history take account warning statements
164,1,indeed intolerance goes right top turkish government,undeniable intolerance reached summits turkish government
165,1,left conservative opposition without effective response,leaves conservative opposition without effective answer
166,1,answer lies support indonesian prodemocracy activists generate domestically internationally,answer lies support indonesian democrats activists generate national internationally
167,1,putin also seems suspect regimes impotence,putin seems suspect powerlessness regime
168,1,promarket economists dont object corporations blatantly use snob appeal promote products,economists promarché companies stand openly using attractiveness luxury promote products
169,1,time radical improvements technology made threat evaporate,every time technological progress fly threats 
170,1,western europeans spared legacy heed warnings,western europeans forgotten history heed warnings
171,1,appointed task force formulate necessary changes tax spending policies,appointed working group formulate necessary changes policy public spending fiscal policies
172,1,side quite different theories explanations going,every originator theories explanations significantly different situation 
173,1,today two plausible ways proceed deposed tyrant,today two plausible ways proceed regards burden tyrant
174,1,todays great pax europa todays paneuropean prosperity depend,large europa today prosperity depends 
175,1,yet process deinstitutionalization religious experience also taking place within islam,however process deinstitutionalisation religious experience also happening within islam
176,1,time radical improvements technology made threat evaporate,time radical technological progress leave threats
177,1,putins russia already lost 12 leading journalists murder past six years,russia already lost 12 distinguished journalists murdered course past six years 
178,1,old version european responsewhat psychologists might call dollar envywill become acute,former version european reaction psychologists call envy dollar become pénétrante
179,1,people versus putin,people putin
180,1,returns make us stock markets attractive reflect delicate political balance,returns make american securities markets attractive reflect fragile political balance
181,1,today two plausible ways proceed deposed tyrant,today two ways plausible undertake tyrant deposed
182,1,month ago mubarak dismissed demands constitutional reform futile,month demands constitutional reform five 
183,1,president fewer powers seems overshadowed particularly supreme guide ayatollah ali khamenei,president fewer powers seems particuli rement overshadowed supr guides ayatollah ali khamenei
184,1,answer lies support indonesian prodemocracy activists generate domestically internationally,answer lies support democratic activists indonesia generate nationalement internationally
185,1,side quite different theories explanations going,player theories explanations markedly different situation
186,1,gross error leading russia political ruin,gross error conducting russia downfall policy
187,1,appointed task force formulate necessary changes tax spending policies,appointed working party make necessary changes give policies public spending fiscal policies
188,1,people versus putin,people putin 
189,1,promarket economists dont object corporations blatantly use snob appeal promote products,economists promarché opposed companies openly using attractiveness luxury promote products
190,1,gays modern practices rejected selfindulgent,gay practices modern rejected navelgazing
191,1,necessary,necessary
192,1,old version european responsewhat psychologists might call dollar envywill become acute,old version european reaction psychologists call envy dollar pervasive
193,1,president fewer powers seems overshadowed particularly supreme guide ayatollah ali khamenei,president powers appears particularly eclipsed supreme ali khamenei 
194,1,perhaps importantly ahmadinejad destabilizing influence bernanke,perhaps importantly ahmadinejad influence destabilizing bernanke
195,1,bottom line interest rates rise asset values fall,essence interest rates go values credit fall
196,1,recommend policies politicians may may want consider,recommend policies politicians take account
197,1,questions many,questions many
198,1,returns make us stock markets attractive reflect delicate political balance,returns make american securities markets attractive reflect fragile political balance
199,1,know little modern factory farming may wonder legislation would necessary,know methods intensive farming perhaps need legislation
200,1,muslim islamist thing,muslim islamiste two different things
201,1,know little modern factory farming may wonder legislation would necessary,know intensive farming methods astonished perhaps need legislation
202,1,questions many,many questions
203,1,clear implicit repudiation mubarak sole ruler 24 years,implicit répudiation clear mubarak head state 24 years
204,1,questions many,questions numerous
205,1,gays modern practices rejected selfindulgent,gays practices modern rejected among selfcentred
206,1,divisions reproduced local level,beyond geographical division divisions occur locally
207,1,putins russia already lost 12 leading journalists murder past six years,putins russia already lost 12 distinguished journalists murdered past six years
208,0,gays modern practices rejected selfindulgent,catch practices 
209,1,jobs particular help young people create new lives serious work,jobs particular would help young people create new lives serious jobs
210,1,tocqueville believed effective longterm constraints tendency,thought long term nothing actually trend 
211,1,foremost among economic development largely hands poor nations,forefront lessons discover economic development left largely hands poor nations
212,1,like union built done,european union done 
213,1,gross error leading russia political ruin,serious error taking russia ruin policy
214,1,americas interest iraqi oil driven either economics energy policy,americas interest iraqi oil dictated economy energy policy
215,1,results remarkable,results remarkable
216,1,know little modern factory farming may wonder legislation would necessary,perhaps know methods intensive farming need legislation
217,1,recommend policies politicians may may want consider,recommended policies politicians taking consideration
218,1,initiative get far,done initiative go far
219,0,results remarkable,results 
220,1,american point view international role dollar trap,american view international role dollar trap
221,1,american point view international role dollar trap,point view international role trap 
222,1,muslim islamist thing,muslim islamiste two different things
223,1,month ago mubarak dismissed demands constitutional reform futile,month ago disrupted muybarak applications constitutional reform futile 
224,1,moreover main oil exporters unwilling subordinate investment policies market requirements,moreover major oil exporters prepared subject policies investment market rates
225,1,books success sign kind malaise,success book sign malaise
226,1,answer lies support indonesian prodemocracy activists generate domestically internationally,answer lies support indonesian democrats activists generate domestically internationally
227,1,like union built done,like european union built done
228,1,putins russia already lost 12 leading journalists murder past six years,putins russia already lost 12 prominent journalists murdered past six years
229,1,give us right divorce husbands abandon us,donneraitelle divorce law spouses abandoned
230,1,yet process deinstitutionalization religious experience also taking place within islam,however process désinstitutionalisation experience religious also happens within islam
231,1,today two plausible ways proceed deposed tyrant,today two plausible ways tyrant deposed
232,1,initiative get far,done without initiative goes far
233,1,none absolves rich countries responsibility help,release rich countries obligation help
234,1,none absolves rich countries responsibility help,however rich countries emerging obligation help
235,1,today two plausible ways proceed deposed tyrant,today two ways proceed plausible towards tyrant deposed
236,1,ahmadinejad embarking adventure bernanke,ahmadinejad embarque adventure bernanke
237,1,like union built done,european union happen
238,1,putin also seems suspect regimes impotence,putin also seems suspect impotence mode
239,1,indeed intolerance goes right top turkish government,undeniable intolerance reached heights turkish government
240,1,know little modern factory farming may wonder legislation would necessary,perhaps know methods intensive breeding astonish need legislation
241,1,prominent chinese businessman divides time hongkong london even specific,influential chinese businessman shares time hong kong london even specific
242,1,areas sharia law introduced force,areas sharia law imposed
243,1,initiative get far,done without initiative go far 
244,1,left conservative opposition without effective response,leaves opposition without effective response 
245,1,europes performance continues decline would perception survive,image decline survive
246,1,americas interest iraqi oil driven either economics energy policy,interests america iraqi oil dictated economy energy policy
247,1,results remarkable,results
248,1,gays modern practices rejected selfindulgent,gays others practical modern rejected nombrilists
249,1,old version european responsewhat psychologists might call dollar envywill become acute,old version european reaction psychologists call desire dollar become pervasive
250,1,ahmadinejad embarking adventure bernanke,ahmadinejad embarking upon adventure bernanke
251,1,foremost among economic development largely hands poor nations,forefront lessons one discovers economic development largely hands poor nations 
252,1,gays modern practices rejected selfindulgent,gay practices modern rejected nombrilistes
253,1,iraqs future depends directly fate iraqi oil production,future iraq linked country 
254,1,witnessing today shift muslim identity islamist identity,attend today change moslem identity islamist identity
255,1,jobs particular help young people create new lives serious work,employment particular would help young people forge new lives serious employment
256,1,spirit european constitution must written,spirit must drawn constitution
257,1,moreover main oil exporters unwilling subordinate investment policies market requirements,moreover major oil exporters prepared submit investment policies market conditions
258,1,ahmadinejad embarking adventure bernanke,ahmadinejad board adventure bernanke
259,1,foremost among economic development largely hands poor nations,first lessons discovered economic development largely left hands poor nations
260,1,areas sharia law introduced force,areas charia imposed
261,1,muslim islamist thing,etre muslim islamic two different things
262,1,initiative get far,happened initiative go far
263,1,appointed task force formulate necessary changes tax spending policies,named work group charged formulate changes necessary bring policies public expenditure fiscal policies
264,1,bottom line interest rates rise asset values fall,bottom line interest rates go values credit fall
265,1,like union built done,like eu built happen
266,1,old version european responsewhat psychologists might call dollar envywill become acute,former version european reaction psychologists call envy dollar perceptively
267,1,putin also seems suspect regimes impotence,putin seems accuse powerlessness regime
268,1,give us right divorce husbands abandon us,would give right divorce husbands would given
269,1,appointed task force formulate necessary changes tax spending policies,appointed working party make necessary changes policies public spending tax policies
270,1,appointed task force formulate necessary changes tax spending policies,appointed working party make necessary changes policies public spending fiscal policies
271,1,returns make us stock markets attractive reflect delicate political balance,returns make markets american securities attractive reflect fragile political balance
272,1,indeed french philosopher marcel gauchet entitled recent book democracy,may also note french philosopher marcel gauchet called one recent democracy 
273,1,tendency extends deeper headscarves,tendency goes well beyond simple scarves
274,1,ahmadinejad embarking adventure bernanke,ahmadinejad boards adventure 
275,1,americas interest iraqi oil driven either economics energy policy,americas interest iraqi oil dictated economy energy policy
276,1,answer lies support indonesian prodemocracy activists generate domestically internationally,answer lies support able generate nationally internationally 
277,1,divisions reproduced local level,beyond geographical division divisions occur local level
278,1,bottom line interest rates rise asset values fall,important thing interest rates amount values active fall
279,1,todays great pax europa todays paneuropean prosperity depend,big pax europe today like current prosperity paneuropean depends
280,1,europes performance continues decline would perception survive,picture survive continuing decline
281,1,areas sharia law introduced force,regions sharia imposed
282,1,president fewer powers seems overshadowed particularly supreme guide ayatollah ali khamenei,president fewer powers appears particuli rement overshadowed guide supr ayatollah ali khamenei
283,1,prominent chinese businessman divides time hongkong london even specific,man influential shares time hong kong london even precise 
284,1,defeat alstom would profound consequences europeand competition policy,waste question alstom group would serious repercussions europe policies competition 
285,1,indeed french philosopher marcel gauchet entitled recent book democracy,also see french philosopher marcel gauchet entitled one recent books democracy
286,1,side quite different theories explanations going,protagonist appreciably different theories explanations situation
287,1,books success sign kind malaise,success book sign malaise 
288,1,divisions reproduced local level,beyond geographical division divisions reproduce local level
289,1,perhaps importantly ahmadinejad destabilizing influence bernanke,perhaps importantly ahmadinejad influence destabilizing bernanke
290,1,left conservative opposition without effective response,leaves opposition conservative without effective response
291,1,moreover main oil exporters unwilling subordinate investment policies market requirements,large oil exporters prepared submit investment policies market conditions
292,1,month ago mubarak dismissed demands constitutional reform futile,month ago muybarak écartait constitutional reform taxing futile
293,1,books success sign kind malaise,success book constitutes sign faintness
294,1,jobs particular help young people create new lives serious work,employment particular would help young people forge new lives thanks serious employment
295,1,putin also seems suspect regimes impotence,putin seems suspicion powerlessness regime
296,1,gross error leading russia political ruin,great mistake russia ruin policy
297,1,time radical improvements technology made threat evaporate,time radicals technological advancements made fly away threats
298,1,europe,europe 
299,1,necessary,needed 
300,1,clear implicit repudiation mubarak sole ruler 24 years,implicit clear repudiation mubarak head state 24 years
301,1,side quite different theories explanations going,every leader theories markedly different explanations regarding situation
302,1,witnessing today shift muslim identity islamist identity,witnessing change muslim identity islamic identity
303,1,divisions reproduced local level,beyond geographical division divisions recur local level
304,1,defeat alstom would profound consequences europeand competition policy,losing alstom would serious repercussions europe policies competition
305,1,clear implicit repudiation mubarak sole ruler 24 years,implicit clear répudiation mubarak head state 24 years
306,1,books success sign kind malaise,success paper sign malaise 
307,1,defeat alstom would profound consequences europeand competition policy,lose question alstom would serious effects europe policies competition
308,1,yet process deinstitutionalization religious experience also taking place within islam,however process desinstitutionalisation religious experiment also occurs within islam
309,1,ahmadinejad embarking adventure bernanke,ahmadinejad embarks adventure bernanke
310,1,spirit european constitution must written,spirit must elaborate european constitution
311,1,american point view international role dollar trap,view us international role dollar trap
312,1,perhaps importantly ahmadinejad destabilizing influence bernanke,perhaps important destabilising influence 
313,1,muslim islamist thing,moslem islamiste two different things
314,1,bottom line interest rates rise asset values fall,important thing however rate interest values 
315,1,give us right divorce husbands abandon us,donneraitelle divorce law spouses would abandoned
316,1,tocqueville believed effective longterm constraints tendency,tocqueville believed long term nothing really object trend
317,1,iraqs future depends directly fate iraqi oil production,future iraq linked oil production country
318,1,iraqs future depends directly fate iraqi oil production,iraqs future linked oil production country
319,1,returns make us stock markets attractive reflect delicate political balance,returns make us markets securities attractive reflect fragile political balance
320,1,yet process deinstitutionalization religious experience also taking place within islam,however process deinstitutionalisation religious experience also happens within islam
321,1,putin also seems suspect regimes impotence,putin seems suspect powerlessness regime
322,1,none absolves rich countries responsibility help,however rich countries obligation help 
323,1,todays great pax europa todays paneuropean prosperity depend,great pax europe today prosperity paneuropean today depends
324,1,indeed intolerance goes right top turkish government,undeniable intolerance reached tops turkish government
325,1,moreover main oil exporters unwilling subordinate investment policies market requirements,situation oil prepared submit policies investment market conditions 
326,1,gross error leading russia political ruin,important mistaken leading russia political ruin
327,1,promarket economists dont object corporations blatantly use snob appeal promote products,economists pro market oppose companies use openly attractiveness luxury promote products
328,1,president fewer powers seems overshadowed particularly supreme guide ayatollah ali khamenei,president fewer powers may seem special reviving special reviving overshadowed guide supreme ayatollah ali khamenei
329,1,prominent chinese businessman divides time hongkong london even specific,businessman chinese influential share time hong kong london even precise
330,1,foremost among economic development largely hands poor nations,top lessons discover economic development left largely hands poor nations
331,1,spirit european constitution must written,spirit must developed european constitution
332,1,old version european responsewhat psychologists might call dollar envywill become acute,former version european reaction desire called desire 
333,1,promarket economists dont object corporations blatantly use snob appeal promote products,economists promarket oppose companies openly use attraction luxury promote products
334,1,ahmadinejad embarking adventure bernanke,ahmadinejad embarking adventure bernanke
335,1,divisions reproduced local level,beyond geographical division local level 
336,1,indeed intolerance goes right top turkish government,undeniable intolerance reached summits turkish government
337,1,political stock market,politization markets transferable securities
338,1,iraqs future depends directly fate iraqi oil production,future iraq linked oil production
339,1,indeed intolerance goes right top turkish government,undeniable intolerance reached heights turkish government
340,1,indeed french philosopher marcel gauchet entitled recent book democracy,also note french philosopher marcel gauchet called one recent books democracy
341,1,muslim islamist thing,muslim islamic two different things
342,1,indeed french philosopher marcel gauchet entitled recent book democracy,one also note french philosopher marcel gauchet entitled one recent books democracy
343,1,iraqs future depends directly fate iraqi oil production,future iraq linked oil production
344,1,areas sharia law introduced force,regions sharia imposed
345,1,indeed french philosopher marcel gauchet entitled recent book democracy,also note french philosopher marcel gauchet entitled recent books democracy
346,1,tendency extends deeper headscarves,tendency goes well beyond simple 
347,1,clear implicit repudiation mubarak sole ruler 24 years,implicit clearly head state 24 years 
348,1,us stock prices fell 52 may 9 may 24,however american courts accused reduction 52 9 24 may
349,1,bottom line interest rates rise asset values fall,key interest rates go values active fall
350,1,defeat alstom would profound consequences europeand competition policy,losing issue alstom would serious repercussions europe policies competition
351,1,tocqueville believed effective longterm constraints tendency,tocqueville thought long run nothing really opposed tendency
352,0,give us right divorce husbands abandon us,couple left 
353,1,us stock prices fell 52 may 9 may 24,however americans accused lower 52 9 24 may
354,1,initiative get far,without initiative going far
355,1,mexico wishes guarantee citizens safety ,mexico wishes avoid violence
356,1,spain currently holds rotating presidency osce ,spain currently holds osces presidency
357,1,treaty first signed 1990 ,cfe treaty signed 1990
358,1,gorgich pashtoon executed prison ,gorgich pashtoon executed trafficking heroin sistanbaluchestan province
359,0,safe bourada sentenced 15 years prison ,djamel badaoui sentenced five years
360,1,santos stated radioactive material primary basis generating crude weapons mass destruction terrorism ,uranium radioactive material primary basis generating dirty weapons mass destruction terrorism
361,1,fulvio berghella stated digital worm named sq hell particularly virulent replicated rate 8000 times hour ,fulvio berghella stated digital worm named sq hell high capacity replicate digital worm named sq hell slowing poste italiane computer network making computers inoperable
362,0,ingo kober stated larger interest intellectual property rights 20 30 years ago ,ingo kober stated nations stronger intellectual property rights others
363,1,investigators claim british company cia cover ,russian investigators stated british company cia cover
364,0,russia nato member countries hold meetings fall conventional forces europe treaty cfe ,russian parliament voted unanimously suspend russias participation conventional forces europe cfe treaty
365,1,united states government nato members refused ratify amended treaty officials moscow withdraw troops former soviet republics moldova georgia ,united states nato members refused ratify amended treaty russia completely withdraws moldova georgia
366,0,russia would immediately increase military strength along russian borders ,russia would hesitate increase military strength along russian borders need arises
367,1,center operational august 2008 ,center formally open 2009
368,1,brazilian police surrounding slums north rio de janeiro rid violent drug traffickers ,police officers surrounded slums north rio de janeiro rid violent drug traffickers seize weapons drugs
369,1,regional international nonproliferation issues addressed dialogue negotiations ,second proposal regional international nonproliferation issues addressed dialogue negotiations
370,1,bombing occurred afghanistan attacks antigovernment insurgents increase recent days ,bombing occurred afghanistan police yet stated responsible
371,1,georgian government websites intense cyber attack following russian military strikes georgia late last week ,cyber attacks follow russian military strikes launched georgia late last week
372,1,switzerlands trade diplomatic relations iran criticized recent months foreign minister micheline calmyrey traveled tehran march 2008 sign deal irans state gas firm ,switzerlands trade diplomatic relations islamic republic criticized recent months foreign minister micheline calmyrey traveled tehran march 2008 sign gas deal
373,1,conventional forces europe treaty limits number military aircraft tanks nonnuclear heavy weapons europe ,conventional forces europe treaty signed russian nato members 1990
374,1,african union proposed peacekeeping mission help somalias struggling transitional government stabilize somalia ,african union proposed peacekeeping mission aid struggling transitional government stabilizing somalia particularly withdrawal ethiopian forces
375,1,reports state syrian government concealing nuclear facility attacked site ,un experts begun analyzing reports state syrian government concealing nuclear facility attacked site
376,1,drug also known ice shabu ,methamphetamine also known ice
377,1,national regional international efforts end illicit trade small arms light weapons ,global community must cooperate end illicit trade small arms light weapons
378,1,religious extremism continues pakistan despite banning militant groups ,religious extremism continues pakistan despite banning militant groups pakistani government
